query,best_residual,attempts
1,0.7560311883933595,1
2,0.7560311883933595,2
3,0.7560311883933595,3
4,0.7560311883933595,4
5,0.7560311883933595,5
6,1.441334347209986,6
7,1.441334347209986,7
8,1.467616348816871,8
9,1.467616348816871,9
10,1.467616348816871,10
11,2.532502823362043,11
12,2.532502823362043,12
13,2.532502823362043,13
14,2.7632719850290752,14
15,2.7632719850290752,15
16,2.7632719850290752,16
17,2.7632719850290752,17
18,2.7632719850290752,18
19,2.7632719850290752,19
20,2.7632719850290752,20
21,2.7632719850290752,21
22,2.7632719850290752,22
23,2.7632719850290752,23
24,2.7632719850290752,24
25,2.7632719850290752,25
26,3.3721853300133273,26
27,3.3721853300133273,27
28,3.3721853300133273,28
29,3.3721853300133273,29
30,3.3721853300133273,30
31,4.504297396448313,31
32,4.504297396448313,32
33,4.504297396448313,33
34,4.504297396448313,34
35,4.504297396448313,35
36,4.504297396448313,36
37,4.504297396448313,37
38,4.504297396448313,38
39,4.504297396448313,39
40,5.587821868133168,40
41,5.587821868133168,41
42,5.587821868133168,42
43,5.587821868133168,43
44,5.587821868133168,44
45,5.587821868133168,45
46,5.587821868133168,46
47,5.587821868133168,47
48,5.587821868133168,48
49,5.587821868133168,49
50,5.587821868133168,50
51,5.587821868133168,51
52,5.587821868133168,52
53,5.587821868133168,53
54,5.587821868133168,54
55,5.587821868133168,55
56,5.587821868133168,56
57,5.587821868133168,57
58,5.587821868133168,58
59,5.587821868133168,59
60,5.587821868133168,60
61,5.587821868133168,61
62,5.738159852633121,62
63,5.738159852633121,63
64,5.738159852633121,64
65,5.738159852633121,65
66,5.738159852633121,66
67,5.738159852633121,67
68,5.738159852633121,68
69,5.738159852633121,69
70,5.738159852633121,70
71,5.738159852633121,71
72,5.738159852633121,72
73,5.738159852633121,73
74,5.738159852633121,74
75,5.738159852633121,75
76,5.738159852633121,76
77,5.738159852633121,77
78,5.738159852633121,78
79,5.738159852633121,79
80,5.738159852633121,80
81,5.738159852633121,81
82,5.738159852633121,82
83,5.738159852633121,83
84,5.738159852633121,84
85,5.738159852633121,85
86,5.738159852633121,86
87,5.738159852633121,87
88,5.738159852633121,88
89,5.738159852633121,89
90,5.738159852633121,90
91,5.738159852633121,91
92,5.738159852633121,92
93,5.738159852633121,93
94,5.738159852633121,94
95,5.738159852633121,95
96,5.738159852633121,96
97,5.738159852633121,97
98,5.738159852633121,98
99,5.738159852633121,99
100,5.738159852633121,100
101,5.738159852633121,101
102,5.738159852633121,102
103,5.738159852633121,103
104,5.738159852633121,104
105,5.738159852633121,105
106,5.738159852633121,106
107,5.738159852633121,107
108,5.738159852633121,108
109,5.738159852633121,109
110,5.738159852633121,110
111,5.738159852633121,111
112,5.738159852633121,112
113,5.738159852633121,113
114,5.738159852633121,114
115,5.738159852633121,115
116,5.738159852633121,116
117,5.783446158272993,117
118,5.783446158272993,118
119,5.783446158272993,119
120,5.783446158272993,120
121,5.783446158272993,121
122,5.783446158272993,122
123,5.783446158272993,123
124,5.783446158272993,124
125,5.783446158272993,125
126,5.783446158272993,126
127,5.783446158272993,127
128,5.783446158272993,128
129,5.783446158272993,129
130,5.783446158272993,130
131,5.783446158272993,131
132,5.783446158272993,132
133,5.840217294876023,133
134,5.840217294876023,134
135,5.840217294876023,135
136,5.840217294876023,136
137,5.840217294876023,137
138,5.840217294876023,138
139,5.840217294876023,139
140,5.840217294876023,140
141,5.840217294876023,141
142,5.840217294876023,142
143,5.840217294876023,143
144,5.840217294876023,144
145,5.840217294876023,145
146,5.840217294876023,146
147,5.840217294876023,147
148,5.840217294876023,148
149,5.840217294876023,149
150,5.840217294876023,150
151,5.840217294876023,151
152,5.840217294876023,152
153,6.362246764491105,153
154,6.362246764491105,154
155,6.362246764491105,155
156,6.362246764491105,156
157,6.362246764491105,157
158,6.362246764491105,158
159,6.362246764491105,159
160,6.362246764491105,160
161,6.362246764491105,161
162,6.362246764491105,162
163,6.362246764491105,163
164,6.362246764491105,164
165,6.362246764491105,165
166,6.362246764491105,166
167,6.362246764491105,167
168,6.362246764491105,168
169,6.362246764491105,169
170,6.44803907223962,170
171,6.44803907223962,171
172,6.44803907223962,172
173,6.44803907223962,173
174,6.44803907223962,174
175,6.44803907223962,175
176,6.44803907223962,176
177,6.44803907223962,177
178,6.44803907223962,178
179,6.44803907223962,179
180,6.44803907223962,180
181,6.44803907223962,181
182,6.44803907223962,182
183,6.44803907223962,183
184,6.44803907223962,184
185,6.44803907223962,185
186,6.44803907223962,186
187,6.44803907223962,187
188,6.44803907223962,188
189,6.44803907223962,189
190,6.44803907223962,190
191,6.44803907223962,191
192,6.44803907223962,192
193,6.44803907223962,193
194,6.44803907223962,194
195,6.44803907223962,195
196,6.44803907223962,196
197,6.44803907223962,197
198,6.44803907223962,198
199,6.44803907223962,199
200,6.44803907223962,200
