query,best_residual,attempts
5,0.21989424804340524,1
10,0.21989424804340524,2
15,0.21989424804340524,3
20,0.21989424804340524,4
25,0.21989424804340524,5
30,0.21989424804340524,6
35,0.21989424804340524,7
40,0.21989424804340524,8
45,0.21989424804340524,9
50,0.21989424804340524,10
55,0.21989424804340524,11
60,0.21989424804340524,12
65,0.21989424804340524,13
70,0.24932058227151835,14
75,0.24932058227151835,15
80,0.24932058227151835,16
85,0.24932058227151835,17
90,0.24932058227151835,18
95,0.24932058227151835,19
100,0.24932058227151835,20
105,0.24932058227151835,21
110,0.24932058227151835,22
115,0.24932058227151835,23
120,0.24932058227151835,24
125,0.24932058227151835,25
130,0.24932058227151835,26
135,0.24932058227151835,27
140,0.24932058227151835,28
145,0.24932058227151835,29
150,0.24932058227151835,30
155,0.24932058227151835,31
160,0.24932058227151835,32
165,0.24932058227151835,33
170,0.24932058227151835,34
175,0.24932058227151835,35
180,0.24932058227151835,36
185,0.24932058227151835,37
190,0.24932058227151835,38
195,0.24932058227151835,39
200,0.24932058227151835,40
