unique,dim,repeat_evals,sigma_rob,lam,robust_axis_idx,robust_score,K,R,seed,baseline_disco_distance,max_residual,total_attempts,best_x_path
0,20,1,0.05,0.3,0,penalty,200,3.0,0,3.220768033547626,0.7884709127418154,200,results/tables/exp18_best_x_dim20_K200_R3.0_seed0_unique0.npy
0,20,1,0.05,0.3,0,penalty,200,3.0,1,3.1736601790810615,0.656826315463127,200,results/tables/exp18_best_x_dim20_K200_R3.0_seed1_unique0.npy
0,20,1,0.05,0.3,0,penalty,200,3.0,2,3.0323094151139784,0.6779339188463746,200,results/tables/exp18_best_x_dim20_K200_R3.0_seed2_unique0.npy
0,20,1,0.05,0.3,0,penalty,200,3.0,3,3.0407461829050457,0.6478121355532975,200,results/tables/exp18_best_x_dim20_K200_R3.0_seed3_unique0.npy
0,20,1,0.05,0.3,0,penalty,200,3.0,4,2.699566973329528,0.874067740144816,200,results/tables/exp18_best_x_dim20_K200_R3.0_seed4_unique0.npy
0,20,1,0.05,0.3,0,penalty,500,3.0,0,3.1126388619481573,0.8743969977533655,500,results/tables/exp18_best_x_dim20_K500_R3.0_seed0_unique0.npy
0,20,1,0.05,0.3,0,penalty,500,3.0,1,3.255184335134885,0.6323344756226794,500,results/tables/exp18_best_x_dim20_K500_R3.0_seed1_unique0.npy
0,20,1,0.05,0.3,0,penalty,500,3.0,2,2.8625725622622626,0.6402388681930112,500,results/tables/exp18_best_x_dim20_K500_R3.0_seed2_unique0.npy
0,20,1,0.05,0.3,0,penalty,500,3.0,3,3.171850969843081,0.6657165142253669,500,results/tables/exp18_best_x_dim20_K500_R3.0_seed3_unique0.npy
0,20,1,0.05,0.3,0,penalty,500,3.0,4,2.9622389001721343,0.7872398393373036,500,results/tables/exp18_best_x_dim20_K500_R3.0_seed4_unique0.npy
0,20,1,0.05,0.3,0,penalty,1000,3.0,0,3.034074848416306,0.7386101077029671,1000,results/tables/exp18_best_x_dim20_K1000_R3.0_seed0_unique0.npy
0,20,1,0.05,0.3,0,penalty,1000,3.0,1,3.115890397563253,0.9174864705227799,1000,results/tables/exp18_best_x_dim20_K1000_R3.0_seed1_unique0.npy
0,20,1,0.05,0.3,0,penalty,1000,3.0,2,2.8132422926556964,0.6713517348789657,1000,results/tables/exp18_best_x_dim20_K1000_R3.0_seed2_unique0.npy
0,20,1,0.05,0.3,0,penalty,1000,3.0,3,2.9306715354480235,0.7628874554781814,1000,results/tables/exp18_best_x_dim20_K1000_R3.0_seed3_unique0.npy
0,20,1,0.05,0.3,0,penalty,1000,3.0,4,3.0276838565209774,0.7681875489613625,1000,results/tables/exp18_best_x_dim20_K1000_R3.0_seed4_unique0.npy
