method,label,suffix,seed,unique,threshold_name,threshold_value,reached,first_query_if_reached,final_best_residual,dim,K,R
exp15,Random,,0,0,q95,0.8743969977533655,0,,0.7508778049260808,20,500,3.0
exp15,Random,,1,0,q95,0.8743969977533655,0,,0.6264937016918071,20,500,3.0
exp15,Random,,2,0,q95,0.8743969977533655,0,,0.7233376837755267,20,500,3.0
exp15,Random,,3,0,q95,0.8743969977533655,0,,0.6240334730695006,20,500,3.0
exp15,Random,,4,0,q95,0.8743969977533655,0,,0.6066607110691158,20,500,3.0
exp15,Random,,0,0,q99,0.8743969977533655,0,,0.7508778049260808,20,500,3.0
exp15,Random,,1,0,q99,0.8743969977533655,0,,0.6264937016918071,20,500,3.0
exp15,Random,,2,0,q99,0.8743969977533655,0,,0.7233376837755267,20,500,3.0
exp15,Random,,3,0,q99,0.8743969977533655,0,,0.6240334730695006,20,500,3.0
exp15,Random,,4,0,q99,0.8743969977533655,0,,0.6066607110691158,20,500,3.0
exp18,CMA-ES,,0,0,q95,0.8743969977533655,1,37.0,0.8743969977533655,20,500,3.0
exp18,CMA-ES,,1,0,q95,0.8743969977533655,0,,0.6323344756226794,20,500,3.0
exp18,CMA-ES,,2,0,q95,0.8743969977533655,0,,0.6402388681930112,20,500,3.0
exp18,CMA-ES,,3,0,q95,0.8743969977533655,0,,0.6657165142253669,20,500,3.0
exp18,CMA-ES,,4,0,q95,0.8743969977533655,0,,0.7872398393373036,20,500,3.0
exp18,CMA-ES,,0,0,q99,0.8743969977533655,1,37.0,0.8743969977533655,20,500,3.0
exp18,CMA-ES,,1,0,q99,0.8743969977533655,0,,0.6323344756226794,20,500,3.0
exp18,CMA-ES,,2,0,q99,0.8743969977533655,0,,0.6402388681930112,20,500,3.0
exp18,CMA-ES,,3,0,q99,0.8743969977533655,0,,0.6657165142253669,20,500,3.0
exp18,CMA-ES,,4,0,q99,0.8743969977533655,0,,0.7872398393373036,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,0,0,q95,0.8743969977533655,0,,0.3091038178676919,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,1,0,q95,0.8743969977533655,0,,0.3663637362980403,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,2,0,q95,0.8743969977533655,0,,0.313238154963214,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,3,0,q95,0.8743969977533655,0,,0.3087188078608071,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,4,0,q95,0.8743969977533655,0,,0.2613730794024433,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,0,0,q99,0.8743969977533655,0,,0.3091038178676919,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,1,0,q99,0.8743969977533655,0,,0.3663637362980403,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,2,0,q99,0.8743969977533655,0,,0.313238154963214,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,3,0,q99,0.8743969977533655,0,,0.3087188078608071,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,4,0,q99,0.8743969977533655,0,,0.2613730794024433,20,500,3.0
exp15,Random,,0,1,random_k500,4.506692323703985,0,,3.906135187630882,20,500,3.0
exp15,Random,,1,1,random_k500,4.506692323703985,1,1.0,5.523299484120781,20,500,3.0
exp15,Random,,2,1,random_k500,4.506692323703985,0,,4.2586541344834945,20,500,3.0
exp15,Random,,3,1,random_k500,4.506692323703985,1,441.0,4.59140560837173,20,500,3.0
exp15,Random,,4,1,random_k500,4.506692323703985,0,,4.253967203913035,20,500,3.0
exp18,CMA-ES,,0,1,random_k500,4.506692323703985,1,52.0,7.104391595149428,20,500,3.0
exp18,CMA-ES,,1,1,random_k500,4.506692323703985,1,52.0,7.4302578666703,20,500,3.0
exp18,CMA-ES,,2,1,random_k500,4.506692323703985,1,50.0,7.227068185577984,20,500,3.0
exp18,CMA-ES,,3,1,random_k500,4.506692323703985,1,81.0,7.241484872515692,20,500,3.0
exp18,CMA-ES,,4,1,random_k500,4.506692323703985,1,38.0,6.895916443370365,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,0,1,random_k500,4.506692323703985,1,215.0,6.300192940628319,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,1,1,random_k500,4.506692323703985,1,115.0,6.209849273229259,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,2,1,random_k500,4.506692323703985,1,265.0,5.693649227244179,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,3,1,random_k500,4.506692323703985,1,425.0,4.929786356799255,20,500,3.0
exp18,Robust CMA,_rep5_axis0_srob0p2_lam0p3,4,1,random_k500,4.506692323703985,1,255.0,6.031408382489554,20,500,3.0
