Dose,PIER,BestPIER,Count,Model,Group,Method
0.0,0.14863380926246073,0.5504463745653456,24,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
1.0,0.30941179340052305,0.7294497480081079,37,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
2.0,0.14250897290384446,0.509320333648469,32,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
3.0,0.18179453777652346,0.6845725119436327,32,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
4.0,0.13247175422317714,0.4616121120861961,29,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
5.0,0.19284464812276184,0.684829828825998,30,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
6.0,0.1357571548010793,0.6080839516464192,24,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
7.0,0.18087988172584735,0.7613057378691075,50,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
8.0,0.1462398246576166,0.6274946271749091,25,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
9.0,0.16561673336113333,0.609415430690995,34,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
10.0,0.17168457140813972,0.4570528786654366,37,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
11.0,0.17214191447599922,0.46529223765988986,26,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
12.0,0.13412005657667173,0.6116044687444125,27,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
13.0,0.12488683205998716,0.6362606534128864,30,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
14.0,0.09677574384489933,0.3234398746080118,39,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
15.0,0.14734138779095662,0.5560094553126051,30,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
16.0,0.17627777737020905,0.6536122890181251,34,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
17.0,0.19475074225496639,0.5198177879054255,20,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
18.0,0.16876535341501991,0.5046986542652434,32,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
19.0,0.07197788588337706,0.20740433713494455,35,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
20.0,0.1536187261176936,0.64107120000478,29,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
21.0,0.17344282590151608,0.643846904417396,36,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
22.0,0.0908192458121624,0.27898686543828655,27,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
23.0,0.15245721603833595,0.5284641480975331,37,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
24.0,0.09511419636982274,0.33675733172590283,26,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
25.0,0.19919040789700979,0.6173452191441406,25,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
26.0,0.18608085431561225,0.6712783503712103,30,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
27.0,0.17064823370810536,0.580401665983986,24,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
28.0,0.14400690710953487,0.6986465380995656,29,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
29.0,0.10256047186323995,0.5561916510260371,36,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
30.0,0.1514885529305488,0.404711571224326,23,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
31.0,0.14022604400918817,0.6092728508099499,28,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
32.0,0.13847277450195125,0.6147879847171587,34,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
33.0,0.14447531600955416,0.5538481143699807,28,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
