Dose,PIER,BestPIER,Count,Model,Group,Method
0.0,0.023337870673879876,0.2572941924361385,27,Architectural Divergence (RoBERTa),Low Redundancy,Random
1.0,0.10047805281103113,0.9184505371001306,22,Architectural Divergence (RoBERTa),Low Redundancy,Random
2.0,0.05191315043592552,0.42258317338068085,22,Architectural Divergence (RoBERTa),Low Redundancy,Random
3.0,0.029205080731881567,0.18387808062612854,37,Architectural Divergence (RoBERTa),Low Redundancy,Random
4.0,0.061808177603070884,0.2914477442952585,27,Architectural Divergence (RoBERTa),Low Redundancy,Random
5.0,0.07081511506950382,0.6519036337269879,33,Architectural Divergence (RoBERTa),Low Redundancy,Random
6.0,0.04929164367021994,0.5299697206369947,31,Architectural Divergence (RoBERTa),Low Redundancy,Random
7.0,0.030569748608468544,0.39584621067075865,36,Architectural Divergence (RoBERTa),Low Redundancy,Random
8.0,0.06170713330857125,0.40263478282843446,32,Architectural Divergence (RoBERTa),Low Redundancy,Random
9.0,0.04106130172908221,0.2244417805229959,36,Architectural Divergence (RoBERTa),Low Redundancy,Random
10.0,0.03562707759268352,0.3447492278889178,32,Architectural Divergence (RoBERTa),Low Redundancy,Random
11.0,0.03644096487727129,0.37030256220698976,34,Architectural Divergence (RoBERTa),Low Redundancy,Random
12.0,0.04200902396687932,0.41793381177509037,29,Architectural Divergence (RoBERTa),Low Redundancy,Random
13.0,0.07847417207803525,0.5777035736243568,26,Architectural Divergence (RoBERTa),Low Redundancy,Random
14.0,0.060310027211664015,0.6928191400489845,27,Architectural Divergence (RoBERTa),Low Redundancy,Random
15.0,0.012444213933772761,0.14743178584308891,24,Architectural Divergence (RoBERTa),Low Redundancy,Random
16.0,0.04850500249584766,0.6004127051663993,39,Architectural Divergence (RoBERTa),Low Redundancy,Random
17.0,0.03721436962500637,0.59728663263719,34,Architectural Divergence (RoBERTa),Low Redundancy,Random
18.0,0.03754474278515001,0.38737357888285495,32,Architectural Divergence (RoBERTa),Low Redundancy,Random
19.0,0.11704310053236994,0.8877758632961812,38,Architectural Divergence (RoBERTa),Low Redundancy,Random
20.0,0.06735794551542693,0.48434623988390757,21,Architectural Divergence (RoBERTa),Low Redundancy,Random
21.0,0.05561335740654582,0.42448843595366303,27,Architectural Divergence (RoBERTa),Low Redundancy,Random
22.0,0.01269937490877009,0.0692953082677924,31,Architectural Divergence (RoBERTa),Low Redundancy,Random
23.0,0.032972574929903534,0.48977376902404934,30,Architectural Divergence (RoBERTa),Low Redundancy,Random
24.0,0.013932335396073792,0.13826243416334194,28,Architectural Divergence (RoBERTa),Low Redundancy,Random
25.0,0.07977407563197401,0.5808481802401603,27,Architectural Divergence (RoBERTa),Low Redundancy,Random
26.0,0.08377372532055033,0.8494720177361499,36,Architectural Divergence (RoBERTa),Low Redundancy,Random
27.0,0.022496253458472393,0.19413351652255562,32,Architectural Divergence (RoBERTa),Low Redundancy,Random
28.0,0.07079953006855697,0.5277581761810223,29,Architectural Divergence (RoBERTa),Low Redundancy,Random
