Dose,PIER,BestPIER,Count,Model,Group,Method
0.0,,,0,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
1.0,0.027858924972726695,0.051701847866319525,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
2.0,0.057060532542308785,0.09917898025499508,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
3.0,0.07190106190876902,0.1674568278553584,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4.0,0.04155366654861393,0.061792203139032165,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
5.0,0.06042520511617558,0.09758711013603288,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
6.0,0.06557884518523271,0.12560619777574888,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
7.0,0.17250461824039753,0.30257795691484135,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
8.0,0.016005702873884406,0.020959463239383518,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
9.0,0.024979378817344956,0.037026586156395876,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
10.0,0.24970496364934822,0.3778296953690613,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
11.0,0.09172231557181514,0.1696051394987484,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
12.0,0.07205225163589346,0.16406925587436796,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
13.0,0.0642245561493703,0.15615861790422733,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
14.0,0.02679601796644762,0.030387976435570486,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
15.0,0.07540542989051598,0.14181944702246294,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
16.0,0.17930205645468614,0.3897099837369705,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
17.0,0.0718306056669757,0.1855444907008758,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
18.0,0.0639814420117218,0.13521997069287642,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
19.0,0.016789889854544663,0.028584282591026078,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
20.0,0.10366448274399775,0.23133453959812783,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
21.0,0.04029993307771102,0.07123268731636008,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
22.0,0.08966099236616044,0.18524664287593456,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
23.0,0.12159212295757878,0.20240906307764656,4,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
24.0,0.05540063853814116,0.07886087322153967,4,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
25.0,0.16347481287957322,0.2952129076861476,4,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
26.0,0.03824858814652001,0.061938759766512586,4,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
27.0,0.09011003351809319,0.1531809141581974,4,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
28.0,0.0885791351685325,0.14557237838192727,4,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
29.0,0.1357028751831604,0.24502473130773056,4,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
