Seed,Step,TextIndex,Dose,Residual,PolicyReward,BestSoFar,Model,Group,Method
0,1,24,24.0,0.0006937908810474929,0.0006282177956368398,0.0006937908810474929,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,2,3,18.0,0.010689374739514035,0.010469998806512448,0.010689374739514035,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,3,47,3.0,0.00100067669331394,0.0009429324020922003,0.010689374739514035,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,4,42,12.0,0.026040910549590457,0.024940324104433143,0.026040910549590457,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,5,38,35.0,0.0002927068915380487,0.00014842475793082149,0.026040910549590457,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,6,22,5.0,0.6519036337269879,0.3946094412908494,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,7,23,32.0,0.008876892996091845,0.006652491769091329,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,8,11,20.0,0.11608617911038221,0.10679629443049043,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,9,10,37.0,0.007428819479114963,0.0,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,10,28,2.0,0.005937134274366596,0.004638085748022158,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,11,27,19.0,0.05199517455461525,0.04088526775176329,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,12,25,23.0,0.0001870217774972982,0.00018678850449815876,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,13,46,20.0,0.11968401873108725,0.0821219697745359,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,14,29,3.0,0.027907618282777547,0.021456398364443574,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,15,35,39.0,0.2897170017417278,0.1256277316847571,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,16,9,9.0,0.000520122468769868,0.0005002591414078328,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,17,41,23.0,0.0015390687521829077,0.0010269690184782003,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,18,3,26.0,0.06529144601847625,0.06507207008547466,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,19,44,3.0,0.00162661532148505,0.00035264124601943215,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,20,31,9.0,0.0022147516923424204,0.0020372184515691227,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,21,10,27.0,0.01018277133613034,0.0,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,22,45,7.0,0.007145826244004727,0.004438361329149876,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,23,39,21.0,0.00040684933299006687,0.00026032490517624574,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,24,33,34.0,0.006206384857472713,4.724146904555582e-05,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,25,34,24.0,0.0016547361605697766,0.0003276009464161728,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,26,33,5.0,0.01629418807684513,0.010135044688417971,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,27,40,36.0,0.058759844002852724,0.0,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,28,0,11.0,0.028768139323825048,0.0,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,29,34,5.0,0.0004736048343319463,0.0,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,30,16,8.0,0.04074205617712212,0.0371075243062986,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,31,1,17.0,0.0016677880776121423,0.0016039986664707628,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
0,32,48,35.0,0.034387856167284125,0.012706457366026824,0.6519036337269879,Architectural Divergence (RoBERTa),Low Redundancy,Random
