Dose,PIER,BestPIER,Count,Model,Group,Method
0.0,0.02764615840619657,0.3069594165024254,38,Architectural Divergence (RoBERTa),Low Redundancy,Random
1.0,0.04908523451593899,0.48227460844112463,24,Architectural Divergence (RoBERTa),Low Redundancy,Random
2.0,0.02663675265507567,0.2759313786051605,27,Architectural Divergence (RoBERTa),Low Redundancy,Random
3.0,0.056111965516516114,0.6892284822339387,28,Architectural Divergence (RoBERTa),Low Redundancy,Random
4.0,0.055643225409355186,0.3570646800213023,32,Architectural Divergence (RoBERTa),Low Redundancy,Random
5.0,0.04724892416005301,0.6566810307405595,30,Architectural Divergence (RoBERTa),Low Redundancy,Random
6.0,0.04527904221341676,0.3930998580427767,26,Architectural Divergence (RoBERTa),Low Redundancy,Random
7.0,0.027405742696152542,0.19071735356860708,34,Architectural Divergence (RoBERTa),Low Redundancy,Random
8.0,0.022054564485666377,0.29846226785933017,31,Architectural Divergence (RoBERTa),Low Redundancy,Random
9.0,0.06750898998819141,0.7223643613224158,20,Architectural Divergence (RoBERTa),Low Redundancy,Random
10.0,0.03825963100149218,0.41191328787231085,22,Architectural Divergence (RoBERTa),Low Redundancy,Random
11.0,0.017594500903709866,0.1831181753137756,22,Architectural Divergence (RoBERTa),Low Redundancy,Random
12.0,0.11091975782580232,0.5658915240200445,34,Architectural Divergence (RoBERTa),Low Redundancy,Random
13.0,0.08201506411227125,0.609012849286547,35,Architectural Divergence (RoBERTa),Low Redundancy,Random
14.0,0.040223267717684245,0.37879321867833093,38,Architectural Divergence (RoBERTa),Low Redundancy,Random
15.0,0.019893356249733592,0.11955546746829371,32,Architectural Divergence (RoBERTa),Low Redundancy,Random
16.0,0.04301764931999529,0.3831146513581062,26,Architectural Divergence (RoBERTa),Low Redundancy,Random
17.0,0.08559206292311677,0.8014442811714811,31,Architectural Divergence (RoBERTa),Low Redundancy,Random
18.0,0.054423087247470824,0.4439664748138923,40,Architectural Divergence (RoBERTa),Low Redundancy,Random
19.0,0.03510206297025444,0.4508065600867175,30,Architectural Divergence (RoBERTa),Low Redundancy,Random
20.0,0.02276409986413659,0.0680467727523687,32,Architectural Divergence (RoBERTa),Low Redundancy,Random
21.0,0.0399336880055602,0.35333606740835033,36,Architectural Divergence (RoBERTa),Low Redundancy,Random
22.0,0.04826963575199386,0.42353787772282214,30,Architectural Divergence (RoBERTa),Low Redundancy,Random
23.0,0.042562389542215855,0.3665833031582323,38,Architectural Divergence (RoBERTa),Low Redundancy,Random
24.0,0.03410372332694641,0.34774466667765136,36,Architectural Divergence (RoBERTa),Low Redundancy,Random
25.0,0.009841105409511783,0.03595277072840708,28,Architectural Divergence (RoBERTa),Low Redundancy,Random
26.0,0.042846564045213725,0.5306633341425631,25,Architectural Divergence (RoBERTa),Low Redundancy,Random
27.0,0.02881213828163367,0.2299586608109952,27,Architectural Divergence (RoBERTa),Low Redundancy,Random
28.0,0.0626272954610197,0.5035819692144503,35,Architectural Divergence (RoBERTa),Low Redundancy,Random
29.0,0.07641848384766313,0.5208276214355149,26,Architectural Divergence (RoBERTa),Low Redundancy,Random
30.0,0.06439046984444473,0.36033438162750253,36,Architectural Divergence (RoBERTa),Low Redundancy,Random
31.0,0.04046483314102192,0.28873047788236617,32,Architectural Divergence (RoBERTa),Low Redundancy,Random
32.0,0.06447364178355826,0.7574279760701659,37,Architectural Divergence (RoBERTa),Low Redundancy,Random
33.0,0.06189135784804041,0.7918305212556254,37,Architectural Divergence (RoBERTa),Low Redundancy,Random
34.0,0.019107773174864746,0.2883174960805175,32,Architectural Divergence (RoBERTa),Low Redundancy,Random
35.0,0.028573799069855032,0.3902472685592967,33,Architectural Divergence (RoBERTa),Low Redundancy,Random
36.0,0.09154086529401964,0.5134297634745748,29,Architectural Divergence (RoBERTa),Low Redundancy,Random
37.0,0.04846350877296197,0.2945566590471451,31,Architectural Divergence (RoBERTa),Low Redundancy,Random
38.0,0.05625755155416845,0.4473761886074974,33,Architectural Divergence (RoBERTa),Low Redundancy,Random
39.0,0.0832102466554138,0.47416053492473487,37,Architectural Divergence (RoBERTa),Low Redundancy,Random
0.0,1.2467624326342742e-08,2.9066414053424694e-08,40,Perfect Redundancy (Clone),High Redundancy,Random
