Dose,PIER,BestPIER,Count,Model,Group,Method
0.0,,,0,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
1.0,0.2756372624106251,0.29665882373179087,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
2.0,0.3096465855065177,0.32454365083164394,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
3.0,0.34312471935712435,0.39641602762363815,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4.0,0.3291489730947914,0.35630572614342637,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
5.0,0.2108192282809355,0.2276482153909587,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
6.0,0.40903670313601986,0.5003915491943716,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
7.0,0.08924485275272294,0.1328739214467622,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
8.0,0.22855009247239466,0.36872869320886414,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
9.0,0.357633164171768,0.41688968024844575,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
10.0,0.218710080284497,0.2966868723509953,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
11.0,0.35957717726497895,0.3680057868644668,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
12.0,0.34295557077815547,0.3991310147329491,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
13.0,0.3776147115213231,0.49242689633467385,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
14.0,0.32688813303969916,0.3822292919172169,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
15.0,0.20077884626250753,0.3970073656548858,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
16.0,0.2013358526341987,0.30864389532461994,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
17.0,0.3714279148796736,0.44421099830212263,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
18.0,0.318601064524552,0.3677840610662857,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
19.0,0.24686580383240653,0.2873805745992053,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
20.0,0.27755504608110276,0.28096895164924857,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
21.0,0.18748320252226738,0.2216589213895711,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
22.0,0.29337291353837164,0.30393691294421277,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
23.0,0.293852842062226,0.30410115578509617,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
24.0,0.30274273497121706,0.3077760437942033,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
25.0,0.1981100180309707,0.2687991248064062,6,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
